Word,Sentiment Score,Category
Older,0.16666666666666666,
greatest,1.0,
important,0.4,
action,0.1,
becoming,0.45,
older,0.16666666666666666,
powerful,0.3,
older,0.16666666666666666,
older,0.16666666666666666,
older,0.16666666666666666,
older,0.16666666666666666,
secure,0.4,
older,0.16666666666666666,
older,0.16666666666666666,
older,0.16666666666666666,
greatest,1.0,
Vulnerable,-0.5,
older,0.16666666666666666,
older,0.16666666666666666,
older,0.16666666666666666,
older,0.16666666666666666,
common,-0.3,
older,0.16666666666666666,
adult,0.1,
social,0.03333333333333333,
social,0.03333333333333333,
social,0.03333333333333333,
sensitive,0.1,
social,0.03333333333333333,
offers,0.1,
common,-0.3,
secure,0.4,
secure,0.4,
secure,0.4,
secure,0.4,
sensitive,0.1,
secure,0.4,
sinister,-0.5,
fake,-0.5,
dishonest,-0.3,
fake,-0.5,
fake,-0.5,
dishonest,-0.3,
offers,0.1,
