Word,Sentiment Score,Category
words,0.2096491228070175,hero
and,0.2096491228070175,hero
phrases,0.2096491228070175,hero
portraying,0.2096491228070175,hero
the,0.2096491228070175,hero
target,0.2096491228070175,hero
as,0.2096491228070175,hero
a,0.2096491228070175,hero
hero,0.2096491228070175,hero
in,0.2096491228070175,hero
text,0.2096491228070175,hero
1,0.2096491228070175,hero
older,0.16666666666666666,hero
adults,0.2096491228070175,hero
often,0.2096491228070175,hero
suffer,0.2096491228070175,hero
greatest,1.0,hero
financial,0.2096491228070175,hero
impact,0.2096491228070175,hero
2,0.2096491228070175,hero
prevention,0.2096491228070175,hero
measures,0.2096491228070175,hero
to,0.2096491228070175,hero
protect,0.2096491228070175,hero
seniors,0.2096491228070175,hero
3,0.2096491228070175,hero
phishing,0.2096491228070175,hero
is,0.2096491228070175,hero
an,0.2096491228070175,hero
important,0.4,hero
part,0.2096491228070175,hero
of,0.2096491228070175,hero
cybersecurity,0.2096491228070175,hero
practice,0.2096491228070175,hero
4,0.2096491228070175,hero
stand,0.2096491228070175,hero
increasing,0.2096491228070175,hero
threats,0.2096491228070175,hero
but,0.2096491228070175,hero
are,0.2096491228070175,hero
taking,0.2096491228070175,hero
action,0.1,hero
prevent,0.2096491228070175,hero
becoming,0.45,hero
victims,0.2096491228070175,hero
5,0.2096491228070175,hero
recommendations,0.2096491228070175,hero
safeguard,0.2096491228070175,hero
6,0.2096491228070175,hero
protecting,0.2096491228070175,hero
personal,0.2096491228070175,hero
data,0.2096491228070175,hero
money,0.2096491228070175,hero
7,0.2096491228070175,hero
education,0.2096491228070175,hero
powerful,0.3,hero
way,0.2096491228070175,hero
8,0.2096491228070175,hero
providing,0.2096491228070175,hero
guidance,0.2096491228070175,hero
support,0.2096491228070175,hero
9,0.2096491228070175,hero
advocating,0.2096491228070175,hero
on,0.2096491228070175,hero
behalf,0.2096491228070175,hero
10,0.2096491228070175,hero
sharing,0.2096491228070175,hero
resources,0.2096491228070175,hero
help,0.2096491228070175,hero
guard,0.2096491228070175,hero
against,0.2096491228070175,hero
scams,0.2096491228070175,hero
11,0.2096491228070175,hero
learning,0.2096491228070175,hero
implementing,0.2096491228070175,hero
preventive,0.2096491228070175,hero
actions,0.2096491228070175,hero
12,0.2096491228070175,hero
recognizing,0.2096491228070175,hero
avoiding,0.2096491228070175,hero
attempts,0.2096491228070175,hero
13,0.2096491228070175,hero
assisting,0.2096491228070175,hero
spotting,0.2096491228070175,hero
warning,0.2096491228070175,hero
signs,0.2096491228070175,hero
responding,0.2096491228070175,hero
cautiously,0.2096491228070175,hero
14,0.2096491228070175,hero
strengthening,0.2096491228070175,hero
practices,0.2096491228070175,hero
for,0.2096491228070175,hero
15,0.2096491228070175,hero
empowering,0.2096491228070175,hero
report,0.2096491228070175,hero
suspected,0.2096491228070175,hero
fraud,0.2096491228070175,hero
incidents,0.2096491228070175,hero
16,0.2096491228070175,hero
proactive,0.2096491228070175,hero
steps,0.2096491228070175,hero
secure,0.4,hero
online,0.2096491228070175,hero
information,0.2096491228070175,hero
17,0.2096491228070175,hero
offering,0.2096491228070175,hero
victimization,0.2096491228070175,hero
18,0.2096491228070175,hero
vulnerability,0.2096491228070175,hero
19,0.2096491228070175,hero
enhancing,0.2096491228070175,hero
digital,0.2096491228070175,hero
literacy,0.2096491228070175,hero
safety,0.2096491228070175,hero
20,0.2096491228070175,hero
collaborative,0.2096491228070175,hero
efforts,0.2096491228070175,hero
from,0.2096491228070175,hero
exploitation,0.2096491228070175,hero
these,0.2096491228070175,hero
highlight,0.2096491228070175,hero
protective,0.2096491228070175,hero
taken,0.2096491228070175,hero
positioning,0.2096491228070175,hero
them,0.2096491228070175,hero
heroes,0.2096491228070175,hero
facing,0.2096491228070175,hero
overcoming,0.2096491228070175,hero
challenges,0.2096491228070175,hero
related,0.2096491228070175,hero
