Word,Sentiment Score,Category
you,0.28531746031746036,hero_messages
are,0.28531746031746036,hero_messages
savvy,0.28531746031746036,hero_messages
strong,0.43333333333333335,hero_messages
and,0.28531746031746036,hero_messages
smart,0.21428571428571427,hero_messages
dear,0.28531746031746036,hero_messages
older,0.16666666666666666,hero_messages
adults,0.28531746031746036,hero_messages
you are,0.28531746031746036,hero_messages
are savvy,0.28531746031746036,hero_messages
savvy strong,0.43333333333333335,hero_messages
strong and,0.43333333333333335,hero_messages
and smart,0.21428571428571427,hero_messages
smart dear,0.21428571428571427,hero_messages
dear older,0.16666666666666666,hero_messages
older adults,0.16666666666666666,hero_messages
you are savvy,0.28531746031746036,hero_messages
are savvy strong,0.43333333333333335,hero_messages
savvy strong and,0.43333333333333335,hero_messages
strong and smart,0.3238095238095238,hero_messages
and smart dear,0.21428571428571427,hero_messages
smart dear older,0.19047619047619047,hero_messages
dear older adults,0.16666666666666666,hero_messages
remember,0.3,hero_messages
valuable,0.3,hero_messages
adults remember,0.3,hero_messages
remember you,0.3,hero_messages
and valuable,0.3,hero_messages
older adults remember,0.16666666666666666,hero_messages
adults remember you,0.3,hero_messages
remember you are,0.3,hero_messages
strong and valuable,0.43333333333333335,hero_messages
young,0.1,hero_messages
at,0.3770833333333333,hero_messages
heart,0.3770833333333333,hero_messages
wise,0.7,hero_messages
in,0.3770833333333333,hero_messages
mind,0.3770833333333333,hero_messages
young at,0.1,hero_messages
at heart,0.3770833333333333,hero_messages
heart wise,0.7,hero_messages
wise in,0.7,hero_messages
in mind,0.3770833333333333,hero_messages
mind remember,0.3770833333333333,hero_messages
remember older,0.16666666666666666,hero_messages
adults are,0.3770833333333333,hero_messages
savvy and,0.3770833333333333,hero_messages
and strong,0.43333333333333335,hero_messages
young at heart,0.1,hero_messages
at heart wise,0.7,hero_messages
heart wise in,0.7,hero_messages
wise in mind,0.7,hero_messages
in mind remember,0.3770833333333333,hero_messages
mind remember older,0.16666666666666666,hero_messages
remember older adults,0.16666666666666666,hero_messages
older adults are,0.16666666666666666,hero_messages
adults are savvy,0.3770833333333333,hero_messages
are savvy and,0.3770833333333333,hero_messages
savvy and strong,0.43333333333333335,hero_messages
stay,-0.25,victim_messages
vigilant,-0.25,victim_messages
protect,-0.25,victim_messages
your,-0.25,victim_messages
security,-0.25,victim_messages
from,-0.25,victim_messages
potential,-0.25,victim_messages
phishing,-0.25,victim_messages
scams,-0.25,victim_messages
targeting,-0.25,victim_messages
vulnerable,-0.5,victim_messages
individuals,-0.25,victim_messages
stay vigilant,-0.25,victim_messages
vigilant and,-0.25,victim_messages
and protect,-0.25,victim_messages
protect your,-0.25,victim_messages
your security,-0.25,victim_messages
security from,-0.25,victim_messages
from potential,-0.25,victim_messages
potential phishing,-0.25,victim_messages
phishing scams,-0.25,victim_messages
scams targeting,-0.25,victim_messages
targeting vulnerable,-0.5,victim_messages
vulnerable individuals,-0.5,victim_messages
stay vigilant and,-0.25,victim_messages
vigilant and protect,-0.25,victim_messages
and protect your,-0.25,victim_messages
protect your security,-0.25,victim_messages
your security from,-0.25,victim_messages
security from potential,-0.25,victim_messages
from potential phishing,-0.25,victim_messages
potential phishing scams,-0.25,victim_messages
phishing scams targeting,-0.25,victim_messages
scams targeting vulnerable,-0.5,victim_messages
targeting vulnerable individuals,-0.5,victim_messages
yourself,-0.05,victim_messages
never,-0.05,victim_messages
give,-0.05,victim_messages
personal,-0.05,victim_messages
details,-0.05,victim_messages
to,-0.05,victim_messages
unknown,-0.1,victim_messages
people,-0.05,victim_messages
